"Year,month",subcategory,Leads_per_ad
2019-09,Commercial Vehicle & Boats,7.504707038358357
2019-09,Computers & Accessories,7.331951141846795
2019-09,Food,5.95181460834849
2019-09,Furniture & Decoration,5.859659169447257
2019-09,Games & Consoles,8.91750717977926
2019-09,Garden Items,5.698504125107686
2019-09,Health & Beauty,5.75655079405212
2019-09,Hobby & Collectibles,6.352328405285689
2019-09,Home Appliances & Kitchen,6.4563751558007185
2019-09,Houses,8.04103053575803
2019-09,Jobs,11.54230970907564
2019-09,Land,6.521689092547521
2019-09,Mobile Phones & Gadgets,10.221733896878163
2019-09,Moms & Kids,5.7592766877485495
2019-09,Motorcycle Accessories & Parts,6.666420572621179
2019-09,Motorcycles,10.209125421795303
2019-09,Music Instruments,5.710896028991928
2019-09,Music/Movies/Books/Magazines,5.30515316411508
2019-09,Other Accessories & Parts,6.383320883192843
2019-09,Others,6.322844272682434
2019-09,Pets,6.944245247929784
2019-09,Professional/Business Equipment,6.4882387351930415
2019-09,Rooms,8.907598001269703
2019-09,Services,6.982196541548353
2019-09,Shoes,5.829336286390297
2019-09,Sports & Outdoors,5.742654699612568
2019-09,TV/Audio/Video,8.914655621457316
2019-09,Textbooks,5.744088792920728
2019-09,Tickets & Vouchers,9.416618886827047
2019-09,Tours and Holidays,6.030284937218169
2019-09,Watches & Fashion Accessories,5.830584468934044
2019-09,Wedding,5.757373469889825
2019-10,Accessories for Phones & Gadgets,6.731812316116037
2019-10,Accommodation & Homestays,6.946166384280032
2019-10,Apartments,8.019758290045301
2019-10,Bags & Wallets,5.761675537201387
2019-10,Bed & Bath,5.919665552004649
2019-10,Business for Sale,9.63388054700702
2019-10,Cameras & Photography,7.161628561152382
2019-10,Car Accessories & Parts,6.333001413834435
2019-10,Cars,8.486336897143486
2019-10,Clothes,5.716307642407788
2019-10,Commercial Properties,6.1014390168865855
2019-10,Commercial Vehicle & Boats,7.776254165306904
2019-10,Computers & Accessories,7.214880122148655
2019-10,Food,5.681298648269811
2019-10,Furniture & Decoration,5.834053225681955
2019-10,Games & Consoles,8.99335598921352
2019-10,Garden Items,5.658715125961237
2019-10,Health & Beauty,5.717627642426285
2019-10,Hobby & Collectibles,6.928479891729741
2019-10,Home Appliances & Kitchen,6.28657017198133
2019-10,Houses,7.872460150536204
2019-10,Jobs,10.658413085261357
2019-10,Land,6.445670721310289
2019-10,Mobile Phones & Gadgets,10.40013719879437
2019-10,Moms & Kids,5.737899151378021
2019-10,Motorcycle Accessories & Parts,6.566791616338396
2019-10,Motorcycles,9.783380809948092
2019-10,Music Instruments,5.899714802870913
2019-10,Music/Movies/Books/Magazines,5.135637555949843
2019-10,Other Accessories & Parts,6.699760854379408
2019-10,Others,6.279496205426739
2019-10,Pets,6.909091234171141
2019-10,Professional/Business Equipment,6.2709828151247855
2019-10,Rooms,8.527300199133787
2019-10,Services,7.551578132033099
2019-10,Shoes,6.129252301651133
2019-10,Sports & Outdoors,5.72328304548645
2019-10,TV/Audio/Video,9.910650835140006
2019-10,Textbooks,5.265436580597837
2019-10,Tickets & Vouchers,9.770211340289867
2019-10,Tours and Holidays,6.334968499287355
2019-10,Watches & Fashion Accessories,5.98661658673279
2019-10,Wedding,5.657681619834815
2019-11,Accessories for Phones & Gadgets,6.783374895725468
2019-11,Accommodation & Homestays,6.669685112631753
2019-11,Apartments,7.917471428170837
2019-11,Bags & Wallets,5.717468982535943
2019-11,Bed & Bath,5.77416170728843
2019-11,Business for Sale,9.151301365807257
2019-11,Cameras & Photography,7.270790810997019
2019-11,Car Accessories & Parts,6.269687676036739
2019-11,Cars,8.667133859847459
2019-11,Clothes,5.566496850468812
2019-11,Commercial Properties,6.1180428560611055
2019-11,Commercial Vehicle & Boats,7.925227364595273
2019-11,Computers & Accessories,7.299025856728748
2019-11,Food,5.417709887532047
2019-11,Furniture & Decoration,5.838268853516646
2019-11,Games & Consoles,9.126748639336933
2019-11,Garden Items,5.732897520447853
2019-11,Health & Beauty,5.660456701522157
2019-11,Hobby & Collectibles,5.803011725542523
2019-11,Home Appliances & Kitchen,6.230501198557562
2019-11,Houses,8.21816854287943
2019-11,Jobs,10.35585362742635
2019-11,Land,6.357041782748569
2019-11,Mobile Phones & Gadgets,10.89298651792268
2019-11,Moms & Kids,5.839942891004904
2019-11,Motorcycle Accessories & Parts,6.468658741856983
2019-11,Motorcycles,9.647074723303408
2019-11,Music Instruments,5.8677041615393115
2019-11,Music/Movies/Books/Magazines,6.088227908093604
2019-11,Other Accessories & Parts,6.649146973259582
2019-11,Others,6.152495902493407
2019-11,Pets,6.826727153708613
2019-11,Professional/Business Equipment,6.515541737074993
2019-11,Rooms,8.622680097439178
2019-11,Services,7.327318392176178
2019-11,Shoes,5.9334673933972475
2019-11,Sports & Outdoors,5.77014404857452
2019-11,TV/Audio/Video,9.456112403848724
2019-11,Textbooks,5.368724065800847
2019-11,Tickets & Vouchers,12.69401748489549
2019-11,Tours and Holidays,6.405762857690092
2019-11,Watches & Fashion Accessories,5.980179071529422
2019-11,Wedding,5.589176275700613
2019-12,Accessories for Phones & Gadgets,6.631647702634732
2019-12,Accommodation & Homestays,6.830081939199037
2019-12,Apartments,8.34809876345033
2019-12,Bags & Wallets,6.015275295418484
2019-12,Bed & Bath,6.07602568204913
2019-12,Business for Sale,9.678076066476248
2019-12,Cameras & Photography,7.294594418769242
2019-12,Car Accessories & Parts,6.694201230091026
2019-12,Cars,8.876835826254297
2019-12,Clothes,5.6196765683670735
2019-12,Commercial Properties,6.1077976958987685
2019-12,Commercial Vehicle & Boats,8.046959301293361
2019-12,Computers & Accessories,7.246718144211901
2019-12,Food,5.410220233627005
2019-12,Furniture & Decoration,6.064717235434017
2019-12,Games & Consoles,9.349977084457818
2019-12,Garden Items,5.830597553125454
2019-12,Health & Beauty,5.757402140551766
2019-12,Hobby & Collectibles,6.191562227664748
2019-12,Home Appliances & Kitchen,6.329390151485349
2019-12,Houses,8.387737416306308
2019-12,Jobs,11.329794308832193
2019-12,Land,6.529044606126576
2019-12,Mobile Phones & Gadgets,10.299874680644836
2019-12,Moms & Kids,6.161780644340866
2019-12,Motorcycle Accessories & Parts,6.470516179114408
2019-12,Motorcycles,9.637713929447914
